0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:01:34 +0800] "GET /goodsCategory/index HTTP/1.1" 200 14681
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:01:34 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:01:34 +0800] "GET /goodsCategory/index HTTP/1.1" 200 14681
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:01:34 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:01:35 +0800] "GET /goodsCategory/index HTTP/1.1" 200 14681
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:01:35 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:03:42 +0800] "GET /goodsCategory/index HTTP/1.1" 200 14839
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:03:42 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:04:16 +0800] "GET /goodsCategory/index HTTP/1.1" 200 14839
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:04:16 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:04:22 +0800] "GET /main HTTP/1.1" 200 7258
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:32 +0800] "GET /main HTTP/1.1" 200 7258
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:35 +0800] "GET /goodsCategory/index HTTP/1.1" 200 14834
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:35 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:39 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:41 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:42 +0800] "GET /tag/index HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:43 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:45 +0800] "GET /goodsCategory/index HTTP/1.1" 200 14834
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:45 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:49 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:50 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:51 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:51 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:52 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:07:53 +0800] "POST /goodsCategory/pageQuery HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /index HTTP/1.1" 200 16649
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /css/style.css HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /css/responsive.css HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /css/jquery.mCustomScrollbar.min.css HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /css/owl.carousel.min.css HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /css/owl.theme.default.min.css HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/logo.png HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/img-1.png HTTP/1.1" 200 229150
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/img-2.png HTTP/1.1" 200 227622
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/img-3.png HTTP/1.1" 200 181550
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/call-icon.png HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/play-icon.png HTTP/1.1" 200 5304
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/about-img.png HTTP/1.1" 200 783464
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/client-img.png HTTP/1.1" 200 56328
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/quick-icon.png HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/mail-icon.png HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/fb-icon.png HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/twitter-icon.png HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/linkedin-icon.png HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /js/jquery.min.js HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /images/instagram-icon.png HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [09/Mar/2020:10:14:47 +0800] "GET /js/popper.min.js HTTP/1.1" 404 983
